"","point_estimate_rub","LB_rub","UB_rub","UB","LB","point_estimate"
"6297",2.34529147412106,0.624656689557306,4.06592625868482,3.10387767367056,1.52943793212319,2.34512447950028
"6298",1.74362512804443,0.964420287775289,2.52282996831357,2.2355772982209,1.69518029240194,1.97854346329801
"6299",1.67038518038567,0.617450599480779,2.72331976129055,2.61505930038573,1.48015185282807,2.15794077386685
"6300",1.67191249430683,0.953007882989672,2.39081710562399,2.26026337590684,1.63737995386679,1.96689913014993
"6301",1.80038438653165,1.12988069998934,2.47088807307396,2.15667994059717,1.58523616010694,1.8950720323261
"6302",0.668768887685979,-0.6706438647642,2.00818164013616,1.97516396891646,0.308858571399434,1.07190690536902
"6303",1.8914903495908,0.0570733752022914,3.7259073239793,3.11471918994388,1.56051726847025,2.18678242322346
"6304",1.78972160249371,0.0303768746162338,3.54906633037119,2.9093741663805,1.30247686930662,2.03038220100405
"6305",1.60843055870041,0.763354176650469,2.45350694075036,2.1443894076327,1.32846122327804,1.7625185316514
"6306",1.23660911152053,-0.428815700979954,2.90203392402101,2.48712477272917,1.18280576101638,1.82569544247812
"6307",2.32883001871647,1.56509686191222,3.09256317552072,2.64013903239294,1.86672489509414,2.24828969299288
"6308",2.4846561659341,0.753504962814785,4.21580736905342,3.35797363180271,1.53487493635851,2.38686069814753
"6309",1.49500135366287,0.162036386449344,2.82796632087639,2.1598583000784,0.970739652215773,1.58729709098011
"6310",1.47788856421552,0.218407488240643,2.73736964019039,2.24310970105697,1.2883693362519,1.75394019589703
"6311",1.48709076707666,0.521685744999699,2.45249578915363,2.08369604275558,1.09564886060476,1.62929054648637
"6312",2.763169632122,0.920673080724697,4.60566618351931,3.62073777339813,2.17943875003018,2.9030558926424
"6313",1.37521365587369,0.187866626030752,2.56256068571663,2.19273691531152,1.57933041882702,1.86377718590249
"6314",1.0789946740942,0.229866077329609,1.92812327085879,1.83474055149404,0.341075090368358,1.08704908168397
"6315",1.99293826094396,0.51499815105216,3.47087837083576,2.69943642955829,1.75497870634451,2.20287255414642
"6316",1.63431866942558,0.846859934585115,2.42177740426604,2.61308166924434,1.33269788525692,1.848597272543
"6317",1.62713644333844,0.531886074632547,2.72238681204434,2.45870835956865,1.26829351258299,1.87420747358202
"6318",2.29330282068005,0.583022099103112,4.00358354225698,2.76863277176783,1.35668132405477,2.19339469250039
"6319",1.91323065237585,0.970141835052342,2.85631946969935,3.00860959898907,1.33769692032601,2.06864890313638
"6320",3.78640760941067,1.34421546924313,6.22859974957822,4.49156826296843,2.06644777005228,3.2851037847794
"6321",1.22769398521948,-0.430687986364682,2.88607595680364,2.49165550937795,0.677946909022626,1.57928112569119
"6322",2.46704668190029,1.33830640771603,3.59578695608455,3.18634887168961,1.87233169254727,2.46679825868138
"6323",1.90892582272801,0.779629824022735,3.03822182143328,2.60691160316087,1.49112674372447,2.0229403793222
"6324",2.24749221356359,1.06949379439476,3.42549063273241,3.40003715527439,1.57362725850807,2.39173500447251
"6325",1.74407656751467,0.463085819868486,3.02506731516085,2.89764666388419,1.36805545497539,2.14155235981291
"6326",2.08406242697114,0.711239175983081,3.4568856779592,2.75839020105381,1.53425277327537,2.03176753502128
"6327",1.36715184689489,-0.222967014736308,2.95727070852608,2.36921460467489,0.927655080974641,1.72131476899378
